だいぶ辛そうだな。「睡眠不足」か?,超元気,課長,睡眠不足,会社
毎日毎日「残業」で、お互い災難だよな,残業,宿題,パーティー,フィーバー
ソレ、いつも飲んでるよな。「栄養ドリンク」か？,のど飴,おつまみ,カメラ,栄養ドリンク
ちゃんと寝ておかないと「身体」に悪いぞ,身体,ゲーム,社長,パソコン
それなら、体調不良で「早退」させてもらったらどうだ？,昇進,早退,調査,ゲーム
早退すると仕事が増えるとか、それじゃ「脅迫」じゃないか,お祝い,号泣,休憩,脅迫
どうした、浮かない顔だな。「嫌な事」でもあったか？,大当たり,嫌な事,レコード,穴掘り
そりゃ気の毒に。「愚痴」なら聞こうか？,イキリ,愚痴,ラジオ,肉体言語
うわ、「休日出勤」か。仕事でも溜めたか？,休日出勤,盆踊り,夜行列車,サービス
断れないのか？「急な話」なんだし,お母さん,急な話,推し,下僕
外が絡むから断れない、か。「手当」なんかは出るのか？	,手当,噴水,色紙,冷凍食品
酷い話だな、俺たちはお上の「私物」じゃないんだぞ	,家族,課長,相棒,私物
最近の「調子」はいかがですか？	,テンション,調子,挨拶,天気
確か、さっきまで「会議」でしたよね？何かあったんですか？	,大会,会議,カラオケ,運動会
え、その企画、さっき「課長」のだって聞いてるんですけど……	,課長,ズッ友,野良猫,アゴ
プレゼンも企画も「先輩」だったなら、どうして課長の企画に？,きのこ,先輩,たけのこ,木の枝
それで、「最初」から全部課長の指示だったってことに？	,計画,コンボ,コマンド,最初
結局、「手柄」を全部横取りされてしまった、と……,イラスト,犬の餌,手柄,あげぽよ
お疲れ様です。「女子会」ですか？,女子会,企画,自己紹介,夜遊び
随分と盛り上がってますね、「社長」の話,彼氏,社長,飲み会,怪談
すみません、気になる「話題」だったもので。詳しく聞いても？,紅茶,悪魔,目次,話題
うわ、ひどいですね。「セクハラ」じゃないんですか、それ,パッパラ,ヴァルハラ,セクハラ,チータラ
陰でそんなことが……。「許せない」ですね,マジ卍,ドロ沼,許せない,昼ドラ
まさか。「言いふらし」たりなんかしませんよ,言いふらし,黙ってたり,暴走したり,飛んだり
